<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
MWG,20180817,88.14,88.88,87.11,87.11,647260
MWG,20180816,84.97,87.70,84.90,87.70,801100
MWG,20180815,87.03,88.21,85.41,85.56,785450
MWG,20180814,84.82,86.96,84.82,86.81,1034100
MWG,20180813,84.81,84.81,83.86,84.23,422090
MWG,20180810,84.38,85.49,84.01,85.11,684860
MWG,20180809,84.08,84.97,83.79,84.38,431240
MWG,20180808,81.87,84.38,81.87,84.01,340650
MWG,20180807,81.87,82.68,81.13,81.87,435930
MWG,20180806,82.98,83.35,81.87,81.87,363260
MWG,20180803,84.08,84.96,82.97,82.98,447190
MWG,20180802,83.27,83.94,82.31,83.93,613430
MWG,20180801,86.67,86.74,83.72,83.79,627780
MWG,20180731,85.93,86.67,85.19,86.15,568610
MWG,20180730,84.00,85.55,84.00,85.56,596030
MWG,20180727,81.13,84.08,81.13,83.93,701950
MWG,20180726,81.50,82.53,79.66,81.13,435230
MWG,20180725,82.90,83.79,81.50,81.50,499320
MWG,20180724,83.57,84.60,81.94,82.90,511920
MWG,20180723,83.34,85.92,83.27,84.01,763720
MWG,20180720,84.08,84.08,81.94,83.71,928360
MWG,20180719,83.93,85.55,82.60,85.04,862370
MWG,20180718,82.61,83.94,82.17,83.34,460950
MWG,20180717,78.92,82.61,77.96,82.61,824160
MWG,20180716,78.47,80.24,78.18,79.07,401950
MWG,20180713,77.00,78.11,76.04,77.44,325760
MWG,20180712,73.90,77.44,73.90,75.23,286890
MWG,20180711,75.23,76.71,73.76,74.49,488530
MWG,20180710,77.14,78.55,76.70,77.37,301970
MWG,20180709,78.92,80.03,76.71,77.44,328540
MWG,20180706,75.23,79.66,73.98,78.55,567910
MWG,20180705,77.07,77.44,73.75,75.01,558520
MWG,20180704,75.08,77.08,73.46,77.07,779570
MWG,20180703,78.99,80.03,73.83,73.83,1075280
MWG,20180702,83.34,83.34,78.92,78.92,1026590
MWG,20180629,84.82,85.93,84.08,84.08,491140
MWG,20180628,86.00,86.96,84.15,84.60,638030
MWG,20180627,88.51,90.13,87.03,87.03,817170
MWG,20180626,87.99,89.10,86.88,88.51,441230
MWG,20180625,88.51,90.65,88.51,89.17,705100
MWG,20180622,84.08,86.22,82.83,86.22,476580
MWG,20180621,86.07,86.66,84.08,84.08,516060
MWG,20180620,84.89,86.22,84.08,85.41,411110
MWG,20180619,85.19,86.59,80.98,84.82,1911210
MWG,20180618,91.38,92.56,87.03,87.03,1070590
MWG,20180615,90.72,91.97,89.39,91.31,481440
MWG,20180614,89.98,92.93,89.98,90.72,790730
MWG,20180613,89.24,90.57,88.58,90.42,697380
MWG,20180612,88.73,89.61,86.00,88.58,1008440
MWG,20180611,88.13,91.45,87.62,90.50,863640
MWG,20180608,85.55,89.91,85.19,89.24,1050630
MWG,20180607,87.33,87.62,85.63,85.85,586210
MWG,20180606,81.87,87.41,81.80,87.40,1622250
MWG,20180605,80.39,82.01,80.02,81.80,550980
MWG,20180604,80.39,82.23,79.65,80.39,528750
MWG,20180601,78.18,80.40,77.15,80.39,607160
MWG,20180531,75.97,78.33,75.45,78.33,340200
MWG,20180530,77.44,78.18,75.45,75.97,440950
MWG,20180529,75.45,78.92,74.49,77.44,551780
MWG,20180528,79.65,80.39,75.45,75.45,1155930
MWG,20180525,83.79,84.08,81.13,81.13,611380
MWG,20180524,84.00,84.67,82.75,83.86,681070
MWG,20180523,80.39,83.34,79.43,83.34,872610
MWG,20180522,81.20,81.42,78.69,80.39,423890
MWG,20180521,80.39,82.61,79.66,81.35,1188460
MWG,20180518,75.97,78.19,75.31,78.18,301160
MWG,20180517,77.07,77.74,76.11,76.12,309370
MWG,20180516,78.18,78.77,77.15,77.44,201990
MWG,20180515,77.44,79.28,77.07,78.77,474040
MWG,20180514,76.71,77.81,75.67,77.44,273900
MWG,20180511,73.69,75.97,73.69,75.97,310160
MWG,20180510,77.81,78.11,73.76,73.76,530300
MWG,20180509,77.45,78.92,77.30,78.11,262950
MWG,20180508,80.25,80.25,77.59,77.89,297750
MWG,20180507,74.86,79.73,74.86,79.66,597020
